Time,L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd,Peak
0.0295257568359375,0.1895170519569831,0.23895628290227933,0.1831082627603564,0.8911268787670679,-6.807664752706286e-05,-0.00033130635129837246,
0.04649209976196289,0.1895170519569831,0.2774090180819542,0.08545052262149966,0.7446402685587827,-0.0002741912409519301,-0.0014566327753035414,
0.053765058517456055,0.1895170519569831,0.29938200961319694,0.012207217517357094,0.5981536583504976,-0.0005205097010095947,-0.003168726254811404,
0.06125617027282715,0.1840238040741724,0.3268482490272504,0.012207217517357094,0.4272526131074983,-0.0006820565088772472,-0.0048926831646289555,
0.06862616539001465,0.1785305561913617,0.35431448844130387,-0.012207217517357094,0.4516670481422125,-0.0007399497276887602,-0.0063132964715240875,
0.07603144645690918,0.17303730830855102,0.35980773632411456,-0.10986495765621385,0.4272526131074983,-0.0006722524814528782,-0.007370775786729594,
0.08362054824829102,0.17303730830855102,0.35980773632411456,-0.1831082627603564,0.4028381780727841,-0.0004205233331072457,-0.008092253816715444,
0.09108924865722656,0.17303730830855102,0.3378347447928718,-0.256351567864499,0.32959487296864154,4.7012194417579105e-05,-0.008485816765018894,
0.0987551212310791,0.1785305561913617,0.3378347447928718,-0.32959487296864154,0.256351567864499,0.0007243193514562992,-0.008546685747520485,
0.10648584365844727,0.1785305561913617,0.3378347447928718,-0.3784237430380699,0.2075226977950706,0.0015815991748719313,-0.008289445390587766,
0.11419844627380371,0.1785305561913617,0.28839551384757556,-0.4272526131074983,0.03662165255207128,0.002567128458616404,-0.007721773727166532,
0.1217031478881836,0.17303730830855102,0.28290226596476487,-0.4028381780727841,-0.15869382772564222,0.003601124176597935,-0.006782764255681881,
0.1294722557067871,0.14557106889449756,0.28290226596476487,-0.4516670481422125,-0.3540093080033557,0.004601293240358557,-0.005399647148664301,
0.13815999031066895,0.14557106889449756,0.315861753261629,-0.47608148317692667,-0.28076600289921316,0.0055357280221732625,-0.003652196931544877,
0.1459364891052246,0.15106431677730825,0.3378347447928718,-0.47608148317692667,-0.256351567864499,0.006389245182691801,-0.0018023829354118523,
0.1538088321685791,0.12909132524606548,0.3488212405584932,-0.5493247882810692,-0.30518043793392735,0.007158607260852844,-6.275038512524868e-05,
0.16126370429992676,0.12909132524606548,0.3488212405584932,-0.5981536583504976,-0.3784237430380699,0.007884805906750338,0.001520927732277623,
0.16936278343200684,0.1126115815976334,0.3488212405584932,-0.646982528419926,-0.4028381780727841,0.008606675537014927,0.0029590538547570938,
0.179368257522583,0.1126115815976334,0.3103685053788183,-0.7202258335240685,-0.5493247882810692,0.009349470429361862,0.004288146078993965,
0.18967390060424805,0.1126115815976334,0.3103685053788183,-0.7690547035934969,-0.5981536583504976,0.010136783336808263,0.005576691935585204,
0.2001950740814209,0.1126115815976334,0.29938200961319694,-0.8422980086976395,-0.646982528419926,0.010980169226168833,0.0068446425968209665,
0.21015644073486328,0.10711833371482271,0.29938200961319694,-0.8911268787670679,-0.6958113984893544,0.011882534352035543,0.008070140715728865,
0.2197277545928955,0.09613183794920133,0.29938200961319694,-0.9399557488364962,-0.646982528419926,0.012831927757312551,0.009206270863431067,
0.22968578338623047,0.09613183794920133,0.28839551384757556,-0.9399557488364962,-0.5493247882810692,0.013789676073848262,0.01013935415041615,
0.24008798599243164,0.09613183794920133,0.29388876173038625,-0.915541313801782,-0.3784237430380699,0.01468492047584676,0.010712948162026862,
0.2497243881225586,0.09613183794920133,0.29388876173038625,-0.8667124437323537,-0.5004959182116409,0.015431852274814455,0.01089190489093175,
0.2596449851989746,0.09613183794920133,0.35431448844130387,-0.8667124437323537,-0.5004959182116409,0.01597827551898633,0.010830614814021438,
0.2714259624481201,0.07415884641795856,0.37628747997254663,-0.8911268787670679,-0.5004959182116409,0.01634312933659104,0.010665550153848046,
0.27946949005126953,0.07415884641795856,0.3817807278553573,-0.9399557488364962,-0.47608148317692667,0.01659853089411575,0.01043811283382453,
0.28978514671325684,0.07415884641795856,0.37628747997254663,-0.9399557488364962,-0.524910353246355,0.016808602207921824,0.010188943543722464,
0.2997441291809082,0.05767910276952648,0.37628747997254663,-0.9399557488364962,-0.4516670481422125,0.016990878917299473,0.009945853043303718,
0.31021833419799805,0.06866559853514786,0.37079423208973594,-0.8911268787670679,-0.4028381780727841,0.017122532822907655,0.009671728180538635,
0.31934428215026855,0.05218585488671579,0.36530098420692525,-0.9399557488364962,-0.4028381780727841,0.017192989737964477,0.00933618258506837,
0.3295173645019531,0.05218585488671579,0.35980773632411456,-1.037613488975353,-0.3784237430380699,0.017272999130102818,0.008960969587750769,
0.3392601013183594,0.05218585488671579,0.35980773632411456,-1.1352712291142097,-0.30518043793392735,0.01747978397746401,0.008545073572316968,
0.3495352268218994,0.05218585488671579,0.35980773632411456,-1.2329289692530665,-0.256351567864499,0.017896494879315137,0.008054803843008843,
0.3597290515899658,-0.03021286335547302,0.35980773632411456,-1.5259021896696368,-0.30518043793392735,0.018632211604942276,0.0075108350588149785,
0.3695414066314697,-0.07965209430076925,0.37628747997254663,-1.8921187151903496,-0.28076600289921316,0.019903726595020883,0.0069852020749376275,
0.3793165683746338,-0.07965209430076925,0.3817807278553573,-2.2827496757457766,-0.3540093080033557,0.02194319076828846,0.006540785364645822,
0.3906097412109375,-0.07965209430076925,0.3927672236209787,-2.624551766231775,-0.4028381780727841,0.024865033113491187,0.006247696559310509,
0.3993065357208252,-0.07965209430076925,0.3927672236209787,-2.9419394216830597,-0.4028381780727841,0.028635450810893498,0.006138745172003254,
